"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"119",51623055020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,2,1,NA,1,"122",11,10.5,10.5,1,44,1,NA,59,2,NA
"120",51623056020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,4,1,NA,1,"122",11,6.9,6.9,1,21,1,NA,NA,3,NA
"121",51623057020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,5,1,NA,1,"122",11,9.5,9.5,1,36,1,NA,NA,3,NA
"122",51623058020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,6,1,NA,1,"202",10,11.8,11.8,1,55,1,NA,NA,3,NA
"123",51623059020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,7,1,NA,1,"202",10,13.3,13.3,1,54,1,NA,NA,3,NA
"124",51623060020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,8,1,NA,1,"122",11,11.3,11.3,1,54,1,NA,NA,3,NA
"125",51623061020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,9,1,NA,1,"202",10,14.9,14.9,1,57,1,NA,64,3,NA
"126",51623062020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,10,1,NA,2,"814",48,6.4,6.4,2,17,1,NA,NA,NA,2
"127",51623063020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,11,1,NA,1,"122",11,10.2,10.2,1,38,1,NA,NA,3,NA
"128",51623064020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,12,1,NA,1,"814",48,7.1,7.1,2,24,1,NA,NA,3,NA
"129",51623065020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,13,1,NA,1,"122",11,8.9,8.9,1,36,1,NA,NA,3,NA
"130",51623066020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,14,1,NA,1,"814",48,5.9,5.9,2,29,1,NA,NA,4,NA
"131",51623067020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,15,1,NA,1,"122",11,9.3,9.3,1,43,1,NA,NA,2,NA
"132",51623068020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,16,1,NA,1,"814",48,6.9,6.9,2,22,1,NA,NA,3,NA
"133",51623069020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,17,1,NA,1,"202",10,5.9,5.9,1,34,1,NA,NA,3,NA
"134",51623071020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,2,1,NA,1,"746",44,9.7,9.7,1,49,1,NA,NA,3,NA
"135",51623070020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,1,1,NA,2,"746",44,5.4,5.4,1,46,1,60,NA,NA,2
"136",51623072020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",4,3,1,NA,1,"746",44,7.8,7.8,1,42,3,NA,34,3,NA
