"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"142","35_3_3_81880","NewMexico",122,"2",1,"A",4,74.96528,299.86112,NA,NA,"0"
"143","35_3_3_83118","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"144","35_3_3_83118","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"145","35_3_3_83682","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"146","35_3_3_83682","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"147","35_3_3_84568","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"1"
"148","35_3_3_84568","NewMexico",122,"2",1,"A",0,74.96528,0,"1",2012,"1"
"149","35_3_3_84647","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"150","35_3_3_84647","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"151","35_3_3_84914","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"152","35_3_3_84914","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"153","35_3_3_85412","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"154","35_3_3_85412","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"155","35_3_3_85548","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"156","35_3_3_85548","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"157","35_3_3_86932","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"158","35_3_3_86932","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"159","35_3_3_87382","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"160","35_3_3_87382","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"161","35_3_3_89131","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"162","35_3_3_89131","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2016,"1"
"163","35_3_3_89264","NewMexico",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"1"
"164","35_3_3_89264","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2012,"1"
"165","35_3_3_90506","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"166","35_3_3_90506","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"167","35_3_3_90572","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"168","35_3_3_90572","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"169","35_3_3_91080","NewMexico",122,"1",1,"A",5,74.96528,374.8264,NA,NA,"0"
"170","35_3_3_91080","NewMexico",122,"2",1,"A",4,74.96528,299.86112,NA,NA,"0"
"171","35_3_3_91736","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"172","35_3_3_91736","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"173","35_3_3_91833","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"174","35_3_3_91833","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"175","35_3_3_92229","NewMexico",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"1"
"176","35_3_3_92229","NewMexico",122,"2",1,"A",0,74.96528,0,"1",2012,"1"
"177","35_3_3_92381","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"178","35_3_3_92381","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"179","35_3_51_80328","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"180","35_3_51_80328","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"181","35_3_51_80569","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"182","35_3_51_80569","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"183","35_3_51_81123","NewMexico",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"1"
"184","35_3_51_81123","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2011,"1"
"185","35_3_51_83011","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"186","35_3_51_83011","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"187","35_3_51_91805","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"188","35_3_51_91805","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"189","35_3_53_80918","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"190","35_3_53_80918","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"191","35_3_53_91097","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"192","35_3_53_91097","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"193","35_4_27_80872","NewMexico",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"0"
"194","35_4_27_80872","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"195","35_4_27_81761","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"196","35_4_27_81761","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"197","35_4_27_82256","NewMexico",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"1"
"198","35_4_27_82256","NewMexico",122,"2",1,"A",0,74.96528,0,"1",2013,"1"
"199","35_4_35_82439","NewMexico",122,"1",1,"A",5,74.96528,374.8264,NA,NA,"0"
"200","35_4_35_82439","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"201","35_4_35_82786","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"202","35_4_35_82786","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"203","35_4_35_87168","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"204","35_4_35_87168","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"205","35_4_35_88931","NewMexico",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"0"
"206","35_4_35_88931","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"207","35_4_35_89631","NewMexico",122,"1",1,"A",10,74.96528,749.6528,NA,NA,"0"
"208","35_4_35_89631","NewMexico",122,"2",1,"A",7,74.96528,524.75696,NA,NA,"0"
"209","35_4_35_89667","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"210","35_4_35_89667","NewMexico",122,"2",1,"A",3,74.96528,224.89584,NA,NA,"0"
"211","35_4_35_90748","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"212","35_4_35_90748","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"213","35_4_35_90793","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"214","35_4_35_90793","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"215","4_1_11_80527","Arizona",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"216","4_1_11_80527","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"217","4_1_11_81831","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"1"
"218","4_1_11_81831","Arizona",122,"2",1,"A",2,74.96528,149.93056,"1",2012,"1"
"219","4_1_11_83482","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"220","4_1_11_83482","Arizona",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"221","4_1_11_86549","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"222","4_1_11_86549","Arizona",122,"2",1,"A",0,74.96528,0,"1",2013,"1"
"223","4_1_11_90454","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"1"
"224","4_1_11_90454","Arizona",122,"2",1,"A",6,74.96528,449.79168,"1",2011,"1"
"225","4_1_11_90898","Arizona",122,"1",1,"A",32,74.96528,2398.88896,NA,NA,"1"
"226","4_1_11_90898","Arizona",122,"2",1,"A",1,74.96528,74.96528,"1",2007,"1"
"227","4_1_11_91054","Arizona",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"228","4_1_11_91054","Arizona",122,"2",1,"A",5,74.96528,374.8264,NA,NA,"0"
"229","4_1_11_91780","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"230","4_1_11_91780","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"231","4_1_9_81356","Arizona",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"232","4_1_9_81356","Arizona",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"233","4_1_9_82709","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"234","4_1_9_82709","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"235","4_1_9_86115","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"236","4_1_9_86115","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"237","4_1_9_87425","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"238","4_1_9_87425","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"239","4_1_9_88474","Arizona",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"240","4_1_9_88474","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"241","4_1_9_89351","Arizona",122,"1",1,"A",5,74.96528,374.8264,NA,NA,"1"
"242","4_1_9_89351","Arizona",122,"2",1,"A",0,74.96528,0,"1",2008,"1"
"243","4_2_1_80149","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"244","4_2_1_80149","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"245","4_2_1_80782","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"246","4_2_1_80782","Arizona",122,"2",1,"A",0,74.96528,0,"1",2011,"1"
"247","4_2_1_80787","Arizona",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"248","4_2_1_80787","Arizona",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"249","4_2_1_80812","Arizona",122,"1",1,"A",7,74.96528,524.75696,NA,NA,"1"
"250","4_2_1_80812","Arizona",122,"2",1,"A",0,74.96528,0,"1",2011,"1"
"251","4_2_1_81069","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"252","4_2_1_81069","Arizona",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"253","4_2_1_81448","Arizona",122,"1",1,"A",2,74.96528,149.93056,NA,NA,"0"
"254","4_2_1_81448","Arizona",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"255","4_2_1_81509","Arizona",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
